专利名,申请号,申请日,摘要,申请人,申请人地址,发明人,IPC分类号,专利号,公开日,主分类号,转化收益（万元）
一种视频运动对象分割方法,200410037501.3,2004-04-23,本发明公开了一种一种视频运动对象分割方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴思；林守勋；张勇东,G06F9/50,CN200410037501.3A,2007-09-12,G06F9,10
一种帧内图像预测编码方法,200410096605.1,2004-12-02,本发明公开了一种一种帧内图像预测编码方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张冬明；沈燕飞；黄晁；林守勋；余乐军,H04L12/24,CN200410096605.1A,2009-02-11,H04L12,10
一种突发公共事件的应急管理系统和方法,200910237892.6,2009-11-20,本发明公开了一种一种突发公共事件的应急管理系统和方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王菁；韩燕波,H04L29/08,CN200910237892.6A,未授权,H04L29,100
一种基于传感器网络的井下安全监测系统、装置及方法,200510071143.2,2005-05-20,本发明涉及一种基于传感器网络的井下安全监测系统、装置及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,赵泽；崔莉；费璟昊；崔洪亮；刘巍,G06F9/50,CN200510071143.2A,2009-06-17,G06F9,120
一种射频识别系统中多标签冲突的解决方法,200510093639,2005-08-31,本发明公开了一种一种射频识别系统中多标签冲突的解决方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,冯波；李锦涛；郭俊波；丁振华,G06F8/65,CN200510093639A,2008-05-28,G06F8,36
基于无线传感器网络的温室大棚用温湿度采集通信系统,200610169654.2,2006-12-26,本发明涉及基于无线传感器网络的温室大棚用温湿度采集通信系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,罗海勇；朱珍民；王琳；李珩,G06F16/27,CN200610169654.2A,2009-06-24,G06F16,24
运动视频的全景图合成方法,200410081023.6,2004-09-30,本发明公开了一种运动视频的全景图合成方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陶焜；林守勋；张勇东,G06F16/27,CN200410081023.6A,2007-09-12,G06F16,12
一种便携式计算机主机,200820123708.6,2008-11-11,本发明公开了一种一种便携式计算机主机的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陈益强,H04L29/08,CN200820123708.6A,2009-10-28,H04L29,6
向计算机系统内存空间植入安全功能的方法,01134530.6,2001-11-05,本发明公开了一种向计算机系统内存空间植入安全功能的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,徐志伟；李丙辰,G06F17/30,CN01134530.6A,2008-08-13,G06F17,16
一种分组网络中语音通信的加密协商方法,200510012048.5,2005-06-30,本发明公开了一种一种分组网络中语音通信的加密协商方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙毅；金鑫；田霖；石晶林,G06N3/04,CN200510012048.5A,2008-03-05,G06N3,6
利用快速人脸检测对新闻被采访者进行脸部遮挡的方法,02147001.4,2002-10-22,本发明涉及利用快速人脸检测对新闻被采访者进行脸部遮挡领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,高    文、苗    军,G06F9/50,CN02147001.4A,2006-01-18,G06F9,0.5
一种分布式的卫星网络TCP性能加速协议格式和方法,03147470.5,2003-07-14,本发明涉及一种分布式的卫星网络TCP性能加速协议格式和方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,霍龙社、郑燕峰、高    文,G06F9/50,CN03147470.5A,2006-07-26,G06F9,0.5
一种资源空间模型的存储与访问方法,200710117639.8,2007-06-20,本发明公开了一种一种资源空间模型的存储与访问方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,诸葛海；何超,G06F3/06,CN200710117639.8A,2009-03-25,G06F3,2.5
减少硬盘磁头寻道次数来提高读硬盘速度的控制方法,200410001352.5,2004-01-06,本发明涉及减少硬盘磁头寻道次数来提高读硬盘速度的控制方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张亮；韩承德,G06N3/04,CN200410001352.5A,2006-05-10,G06N3,0.5
高速外设部件互连总线的多主控制器单芯片实现方法,200410003887.6,2004-02-10,本发明涉及高速外设部件互连总线的多主控制器单芯片实现方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张亮；韩承德,G06N3/04,CN200410003887.6A,2006-09-27,G06N3,2
基于互连网接口的智能磁盘设备新型控制方法,200410003888.0,2004-02-10,本发明公开了一种基于互连网接口的智能磁盘设备新型控制方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张亮；韩承德,H04L12/24,CN200410003888.0A,2007-03-14,H04L12,1
双对角差分空时码发送机和接收机,01129590.2,2001-07-02,本发明公开了一种双对角差分空时码发送机和接收机的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李舒；韩承德,G06F9/50,CN01129590.2A,2004-03-10,G06F9,2
一种移动自组织网络上语音通信方法,200410046389,2004-06-08,本发明公开了一种一种移动自组织网络上语音通信方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙毅；方更法；石晶林,G06F11/30,CN200410046389A,2008-06-11,G06F11,1.5
一种无线分组网络中语音通信呼叫接续信令协议,200510011604.7,2005-04-21,本发明涉及一种无线分组网络中语音通信呼叫接续信令协议领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙毅；胡金龙；金鑫；周继华；石晶林,G06F17/30,CN200510011604.7A,2008-12-17,G06F17,2
一种无线分组网络中语音通信的认证、授权、记帐方法,200510011739.3,2005-05-19,本发明涉及一种无线分组网络中语音通信的认证、授权、记帐方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙毅；杨育波；周继华；方更法；王国辉；石晶林,H04L29/08,CN200510011739.3A,2008-04-16,H04L29,2.5
一种基于二层预测和触发的三层移动切换实现方法,200610079037.3,2006-04-30,本发明涉及一种基于二层预测和触发的三层移动切换实现方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,冯斌；孙毅；胡金龙；张玉成；郑如松,G06F11/30,CN200610079037.3A,2008-07-23,G06F11,1.5
一种计算机网络端主机系统精确标记数据包时间戳的方法,03142734.0,2003-06-16,本发明涉及一种计算机网络端主机系统精确标记数据包时间戳领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王恺；黄靖；杨峰,G06F16/27,CN03142734.0A,2005-03-30,G06F16,3
域间路由不稳定性的分析方法,200510086463.5,2005-09-22,本发明公开了一种域间路由不稳定性的分析方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王旸旸；毕经平；梁伟,H04L12/24,CN200510086463.5A,2007-12-26,H04L12,1.5
分段可靠的时钟相位差检测方法,200410004026,2004-02-04,本发明公开了一种分段可靠的时钟相位差检测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴起；毕经平,G06F21/60,CN200410004026A,2006-12-13,G06F21,1.5
基于函数加密的软件保护方法,200410073699.0,2004-09-01,本发明公开了一种基于函数加密的软件保护方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴起；毕经平,G06F8/65,CN200410073699.0A,2006-12-06,G06F8,2.5
基于仲裁者的测量协同问题解决方法,03149108.1,2003-06-17,本发明公开了一种基于仲裁者的测量协同问题解决方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,毕经平；吴起,G06F17/30,CN03149108.1A,2006-03-29,G06F17,0.5
基于主控代理/协同代理自动执行的协作式测量方法,03160228.2,2003-09-28,本发明涉及基于主控代理/协同代理自动执行的协作式测量方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王恺；杨峰；张庆峰；毕经平,G06F17/30,CN03160228.2A,2006-08-09,G06F17,1.5
基于控制点运动编辑的手语词汇运动数据库生成的方法,01115947.2,2001-06-06,本发明涉及基于控制点运动编辑的手语词汇运动数据库生成领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,高文；王兆其,H04L12/24,CN01115947.2A,2005-04-20,H04L12,1.5
三维人体运动仿真结果与录像同屏对比方法,03147556.6,2003-07-22,本发明公开了一种三维人体运动仿真结果与录像同屏对比方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王兆其；樊建平；李锦涛；钱跃良；邱显杰；夏时洪,H04L29/08,CN03147556.6A,2006-05-03,H04L29,4.5
具有大容量存储器的数据流处理板,01131694.2,2001-12-27,本发明公开了一种具有大容量存储器的数据流处理板的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢应科；宋建平；任钢；韩承德；王贞松,G06N3/04,CN01131694.2A,2006-02-22,G06N3,2.4
基于微机PCI总线的海量高速数字信号源,01131693.4,2001-12-27,本发明公开了一种基于微机PCI总线的海量高速数字信号源的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,徐永健；姚 萍；王贞松；汤振宇,H04L12/24,CN01131693.4A,2005-06-22,H04L12,1.4
一种保障移动自组织网络服务质量的方法,200610080987.8,2006-05-26,本发明公开了一种一种保障移动自组织网络服务质量的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢高岗；李振宇；陈嘉宁,G06F8/65,CN200610080987.8A,2008-06-11,G06F8,10
利用电话网和以太网联合实现端到端可视电话系统及方法,200410074676.1,2004-09-13,本发明涉及利用电话网和以太网联合实现端到端可视电话系统及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,石晶林；李忠诚,G06F8/65,CN200410074676.1A,2008-07-23,G06F8,50
一种移动自组织网中的地址自动配置方法,200410083806.8,2004-10-18,本发明公开了一种一种移动自组织网中的地址自动配置方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周继华；石晶林,H04L29/08,CN200410083806.8A,2006-12-06,H04L29,12
基于无线传感器网络的微量爆炸物监测系统、装置及方法,200510126233.7,2005-11-30,本发明涉及基于无线传感器网络的微量爆炸物监测系统、装置及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,崔莉；蒋理,G06N3/04,CN200510126233.7A,2008-03-05,G06N3,500
一种入侵检测的多线程负载均衡方法,200410005921.3,2004-02-24,本发明公开了一种一种入侵检测的多线程负载均衡方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,田野；张玉军,G06F17/30,CN200410005921.3A,2006-10-25,G06F17,8
一种无线自组织网络的无环路由构建方法,200910077244.9,2009-01-20,本发明公开了一种一种无线自组织网络的无环路由构建方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李刚,G06F21/60,CN200910077244.9A,2010-09-29,G06F21,10
一种无线自组织网络适应性路由构造方法,200910077245.3,2009-01-20,本发明公开了一种一种无线自组织网络适应性路由构造方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李刚,H04L29/08,CN200910077245.3A,2010-09-29,H04L29,0.0
一种获取网络音视频节目地址的方法,200810116933.1,2008-07-21,本发明公开了一种一种获取网络音视频节目地址的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张斌；张刚；程学旗,G06F9/50,CN200810116933.1A,2011-02-09,G06F9,0.0
一种可穿越网络地址翻译的自动隧道的方法,03158973.1,2003-09-17,本发明公开了一种一种可穿越网络地址翻译的自动隧道的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴贤国；刘敏；张天乐；石晶林；李忠诚,G06F16/27,CN03158973.1A,2006-02-22,G06F16,60
一种利用双重隧道机制穿透NAT的方法,03147471.3,2003-07-14,本发明公开了一种一种利用双重隧道机制穿透NAT的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘敏；吴贤国；石晶林；李忠诚,G06F21/60,CN03147471.3A,2007-08-29,G06F21,0.0
一种实现网络查询缓存的系统和查询方法,200810117515.4,2008-07-31,本发明公开了一种一种实现网络查询缓存和查询方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李晓林；徐志伟；谢毅,G06F21/60,CN200810117515.4A,2010-03-17,G06F21,50
一种网络系统及其管理方法,200810119858.4,2008-09-12,本发明公开了一种一种网络系统及其管理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李晓林；徐志伟；谢毅,G06N3/04,CN200810119858.4A,2008-05-11,G06N3,0.0
一种实现网络客户端应用动态部署的方法,200310117039.3,2003-12-04,本发明公开了一种一种实现网络客户端应用动态部署的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李晓林；徐志伟；李如豹；杨宁,G06F17/30,CN200310117039.3A,2008-10-29,G06F17,0.0
一种分布式网络主动测试结果存储方法,200310104718.7,2003-10-31,本发明公开了一种一种分布式网络主动测试结果存储方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢高岗；王俊峰；黎文伟杨建华；李忠诚,G06F3/06,CN200310104718.7A,2009-04-15,G06F3,5
一种网络服务质量监测方法及其系统,200510109330.5,2005-10-13,本发明公开了一种一种网络服务质量监测方法及其系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,苏爱华；张国清,G06N3/04,CN200510109330.5A,2009-12-02,G06N3,3.5
一种适合有线/无线混合网络的自适应拥塞控制方法,03155730.9,2003-09-01,本发明涉及一种适合有线/无线混合网络的自适应拥塞控制方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,葛鸽；张国清,G06F9/50,CN03155730.9A,2005-11-09,G06F9,3.5
一种基于故事情节发展模型分析的电影动作场景检测方法,200710099727,2007-05-29,本发明涉及一种基于故事情节发展模型分析的电影动作场景检测方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘安安；李锦涛；张勇东；唐胜；宋砚,G06F8/65,CN200710099727A,2009-11-11,G06F8,4.5
一种虚拟动态群体的可见性判断方法,200810113062.8,2008-05-27,本发明公开了一种一种虚拟动态群体的可见性判断方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王竹；束搏；徐文彬；王兆其,G06F3/06,CN200810113062.8A,2010-06-02,G06F3,1
一种事务性内存的实现方法,200810239010.5,2008-12-04,本发明公开了一种一种事务性内存的实现方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,范彬;吴承勇,G06F8/65,CN200810239010.5A,2010-06-09,G06F8,1
网络环境下适应性服务连接器及连接方法,200410062339.0,2004-07-06,本发明公开了一种网络环境下适应性服务连接器及连接方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李刚；王菁；韩燕波,G06F3/06,CN200410062339.0A,2008-07-23,G06F3,1
简化Web服务客户端构造的服务交互装置及交互方法,200410083622.1,2004-10-13,本发明涉及简化Web服务客户端构造的服务交互装置及交互方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李刚；王菁；韩燕波,G06F17/30,CN200410083622.1A,2009-06-24,G06F17,1
虚拟网络服务派生和使用方法及装置,200610072076.0,2006-04-06,本发明公开了一种虚拟网络服务派生和使用方法及装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,房俊；韩燕波；梁英；；李厚福,H04L12/24,CN200610072076.0A,2009-05-13,H04L12,1
面向最终用户的个性化的服务呈现方法,200610001678.7,2006-01-20,本发明公开了一种面向最终用户的个性化的服务呈现方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张程；杨少华；韩燕波；李厚福；杨冬菊；王菁；熊锦华,G06F17/30,CN200610001678.7A,2010-06-02,G06F17,1
一种网格环境下支持网格资源动态集成和协作的方法,200610000955.2,2006-01-16,本发明涉及一种网格环境下支持网格资源动态集成和协作领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李厚福；韩燕波；梁英,H04L12/24,CN200610000955.2A,2010-07-28,H04L12,1
基于全局Internet拓扑知识的P2P应用构建方法,200510086903.7,2005-11-17,本发明涉及基于全局Internet拓扑知识的P2P应用构建方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张国强；张国清,H04L12/24,CN200510086903.7A,2009-01-14,H04L12,200
一种P2P视频点播系统中的磁盘缓存替换方法；,200910084617.5,2009-05-22,本发明涉及一种P2P视频点播系统中的磁盘缓存替换方法；领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,覃涛；傅川；张国清,G06F9/50,CN200910084617.5A,2011-03-30,G06F9,0.0
一种P2P视频直播系统数据调度中的链路选择方法,200810111656.5,2008-05-15,本发明涉及一种P2P视频直播系统数据调度中的链路选择方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周志勇；张国清；李彦君；傅川,G06F11/30,CN200810111656.5A,2011-10-19,G06F11,0.0
